Variable / Field Name,Form Name,Section Header,,Item Header,,Field Label,"Choices, Calculations, OR Slider Labels",Field Type,,,Text Validation Min,Text Validation Max,,,Form Display Name
406,qr75,,,,,I often have the feeling that I cannot handle things very well.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
407,qr75,,,,,I find myself giving up more of my life to meet my children's needs than I ever expected.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
408,qr75,,,,,I feel trapped by my responsibilities as a parent.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
409,qr75,,,,,"Since having this child, I have been unable to do new and different things.","SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
410,qr75,,,,,"Since having a child, I feel that I am almost never able to do things that I like to do.","SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
411,qr75,,,,,I am unhappy with the last purchase of clothing I made for myself.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
412,qr75,,,,,There are quite a few things that bother me about my life.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
413,qr75,,,,,Having a child has caused more problems than I expected in my relationship with my spouse/parenting partner.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
414,qr75,,,,,I feel alone and without friends.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
415,qr75,,,,,"When I go to a party, I usually expect not to enjoy myself.","SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
416,qr75,,,,,I am not as interested in people as I used to be.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
417,qr75,,,,,I don't enjoy things as I used to.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
418,qr75,,,,,My child rarely does things for me that make me feel good.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
419,qr75,,,,,"When I do things for my child, I get the feeling that my efforts are not appreciated very much.","SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
420,qr75,,,,,My child smiles at me much less than I expected.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
421,qr75,,,,,Sometimes I feel my child doesn't like me and doesn't want to be close to me.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
422,qr75,,,,,My child is very emotional and gets upset easily.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
423,qr75,,,,,My child doesn't seem to learn as quickly as most children.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
424,qr75,,,,,My child doesn't seem to smile as much as most children.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
425,qr75,,,,,My child is not able to do as much as I expected.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
426,qr75,,,,,It takes a long time and it is very hard for my child to get used to new things.,"SA=Strongly Agree, A=Agree, NS= Not Sure, D=Disagree, SD=Strongly Disagree",1,1,n/a,oo,SA,,,75
427,qr75,,,,,I feel that I am: (Choose a response from the choices below.) 1) a very good parent. 2) a better-than-average parent. 3) an average parent. 4) a person who has some trouble being a parent. 5) not very good at being a parent.,"1="""", 2="""", 3="""", 4="""", 5=""""",1,1,1,1,oo,,,75
