Domain,Field Label,"Choices, Calculations, OR Slider Labels",Form Display Name,Item Header,Form Name,Field Type,Variable / Field Name,Section header
Attention,"Fidgety, unable to sit still","0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,1,
Anxiety/mood,"Feels sad, unhappy","0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,2,
Attention,Daydreams too much,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,3,
Conduct/ODD,Refuses to share,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,4,
Conduct/ODD,Does not understand other people’s feelings,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,5,
Anxiety/mood,Feels hopeless,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,6,
Attention,Has trouble concentrating,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,7,
Conduct/ODD,Fights with other children,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,8,
Anxiety/mood,Is down on him or herself,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,9,
Conduct/ODD,Blames others for his or her troubles,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,10,
Anxiety/mood,Seems to be having less fun,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,11,
Conduct/ODD,Does not listen to rules,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,12,
Attention,Acts as if driven by a motor,"0=Never, 1=Sometimes, 2=Often, 3=I don't know",PSC-17,Please mark what best fits the student,PSC17,1,13,
