Variable / Field Name,Form Name,Section Header,,Item Header,,Field Label,"Choices, Calculations, OR Slider Labels",Field Type,,,Text Validation Min,Text Validation Max,,,Form Display Name
1846,qr64,,,,,Are you currently a smoker?,"0= No, 1= Yes",1,2,n/a,n/a,n/a,,,64
1847,qr64,"If No, do not answer the remaining questions.","If No, do not answer the remaining questions.",,,Have you been a smoker within the past two years?,"0= No, 1= Yes",1,2,n/a,n/a,n/a,,,64
1848,qr64,,,,,How soon after you wake up do you smoke your first cigarette?,"0=After 60 minutes,
1=31-60 minutes,
2=6-30 minutes,
3=Within 5 minutes",1,1,0,3,oo,,,64
1849,qr64,,,,,"Do you find it difficult to refrain from smoking in the places where it is forbidden (e.g. in church, at the library, in cinema)?","0= No, 1= Yes",1,2,n/a,n/a,n/a,,,64
1850,qr64,,,,,Which cigarette would you hate most to give up?,"1= First thing in the morning,
0=Any other",1,1,0,n/a,n/a,,,64
1851,qr64,,,,,How many cigarettes/day do you smoke?,"0=10 or less,
1=11-20,
2=21-30,
3=31 or more",1,1,0,oo,3,,,64
1852,qr64,,,,,Do you smoke more frequently during the first hours after waking than during the rest of the day?,"0= No, 1= Yes",1,2,n/a,n/a,n/a,,,64
1853,qr64,,,,,Do you smoke if you are so ill that you are in bed most of the day?,"0= No, 1= Yes",1,2,n/a,n/a,n/a,,,64
1021,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How often do you have a drink containing alcohol?,"0=Never, 1=Monthly or Less, 2=Two to Four Times a Month, 3=Two to Three Times a Week, 4=Four or More Times a Week",1,,,,,,,53
1022,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How many drinks containing alcohol do you have on a typical day when you are drinking?,"0=""1 or 2"", 1=""3 or 4"", 2=""5 or 6"", 3=""7 to 9"", 4=""10 or more""",1,,,,,,,53
1023,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,Have you ever had at least three drinks on one occasion?,"0=No, 1=Yes",1,,,,,,,53
1024,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,Have you ever had at least two drinks on one occasion?,"0=No, 1=Yes",1,,,,,,,53
1025,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How often do you have six or more drinks on one occassion?,"0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily",1,,,,,,,53
1026,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How often during the last year have you found that you were not able to stop drinking once you had started?,"0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily",1,,,,,,,53
1027,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,IF NEVER: Have you ever found that you were not able to stop drinking once you had started?,"0=No, 1=Yes",1,,,,,,,53
1028,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How often during the last year have you failed to do what was normally expected of you because of drinking?,"0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily",1,,,,,,,53
1029,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?,"0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily",1,,,,,,,53
1030,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How often during the last year have you had a feeling of guilt or remorse after drinking?,"0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily",1,,,,,,,53
1031,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,How often during the last year have you been unable to remember what happened the night before because you had been drinking?,"0=Never, 1=Less than Monthly, 2=Monthly, 3=Weekly, 4=Daily or Almost Daily",1,,,,,,,53
1032,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,Have you or someone else been injured as a result of your drinking?,"0=""No"", 2=""Yes, but not in the last year"", 4=""Yes, during the year""",1,,,,,,,53
1033,qr53,Please circle the answer that is correct for you.,Please select the answer that is correct for you.,,,"Has a relative or friend, or a doctor or other health worker been concerned about your drinking or suggested you cut down?","0=""No"", 2=""Yes, but not in the last year"", 4=""Yes, during the year""",1,,,,,,,53
1854,qr65,,,,,Do you currently smoke?,"0=No, 1=Yes",1,2,n/a,n/a,n/a,,,65
1855,qr65,"If No, do not answer the remaining questions.","If No, do not answer the remaining questions.",,,How many cigarettes a day do you smoke?,"0= A. Over 26 cigarettes a day,  1= B. About 16-25 cigarettes a day,  2= C. About 1-15 cigarettes a day,  3= D. Less than 1 day",1,1,3,0,oo,,,65
1856,qr65,,,,,Do you inhale?,"0= A. Always,  1= B. Quite Often,  2= C. Seldom, 3= D. Never",1,1,3,0,oo,,,65
1857,qr65,,,,,How soon after you wake do you smoke your first cigarette?,"0= A. Within 30 minutes, 1= B. More than 30 minutes after waking but before noon, 2= C. In the afternoon, 3= D. In the evening ",1,1,3,0,oo,,,65
1858,qr65,,,,,Which cigarette would you hate to give up?,"0= A. First cigarette in the morning, 1= B. Any other cigarette before noon, 2= C. Any other cigarette in the afternoon, 3= D. Any other cigarette in the evening",1,1,3,oo,oo,,,65
1859,qr65,,,,,"Do you find it difficult to refrain from smoking in places where it is forbidden (church, library, movies, etc.)?","0= ""A. Yes, very difficult"", 1= ""B. Yes, somewhat difficult"", 2= ""C. No, not usually difficult"", 3= ""D. No, not at all difficult""",1,1,3,0,oo,,,65
1860,qr65,,,,,Do you smoke if you are so ill that you are in bed most of the day?,"0= ""A. Yes, always"", 1= ""B. Yes, quite often"", 2=""C. No, not usually"", 3= ""D. No, never""",1,1,3,0,oo,,,65
1861,qr65,,,,,Do you smoke more during the first 2 hours than during the rest of the day?,"0= No, 1= Yes",1,2,N/A,n/a,n/a,,,65
1373,qr62,,,,,"Have you ever heard of marijuana (grass, pot) or hashish (has, hash oil)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1374,qr62,,,,,"Have you ever used marijuana (grass, pot) or hashish (hash, hash oil)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1375,qr62,,,,,"Have you ever sniffed a substance (glue, aerosols, etc.) to get high?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1376,qr62,,,,,"Have you ever used tranquillizers or sedatives (without a doctor's prescription) (e.g. benzodiazepines such as valium or xanax;barbiturates, barbs or downers such as amytal, or seconal)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1377,qr62,,,,,"Have you ever used amphetamines (speed), methamphetamine (crystal meth), or desoxyn?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1378,qr62,,,,,Have you ever used LSD (acid)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1379,qr62,,,,,Have you ever used magic mushrooms or other hallucinogens (excluding LSD)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1380,qr62,,,,,Have you ever used crack?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1381,qr62,,,,,Have you ever used cocaine?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1382,qr62,,,,,Have you ever used relevin?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1383,qr62,,,,,Have you ever used heroin?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1384,qr62,,,,,"Have you ever used narcotics (e.g. opium, morphine, codeine)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1385,qr62,,,,,Have you ever used ecstasy (MDMA)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1386,qr62,,,,,"Have you ever used ketamine (Ket, K) or Phencyclidine (PCP, or angel dust)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1387,qr62,,,,,Have you ever used GHB or liquid ecstasy?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1388,qr62,,,,,Have you ever used anabolic steroids?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1389,qr62,,,,,"On how many occasions IN YOUR WHOLE LIFETIME have you used marijuana (grass, pot) or hashish (hash, hash oil)?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,2,1,oo,6,,,62
1390,qr62,,,,,"On how many occasions OVER THE LAST 12 MONTHS have you used marijuana (grass, pot) or hashish (hash, hash oil)?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,2,1,oo,6,,,62
1391,qr62,,,,,"On how many occasions OVER THE LAST 30 DAYS have you used marijuana (grass, pot) or hashish (hash, hash oil)?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,2,1,oo,6,,,62
1392,qr62,,,,,"On how many occasions OVER THE LAST WEEK have you used marijuana (grass, pot) or hashish (hash, hash oil)?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,2,1,oo,6,,,62
1393,qr62,,,,,"Please indicate if you have used marijuana (grass, pot) or hashish (hash, hash oil) on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1394,qr62,,,,,Do you abuse more than one drug at a time when you use marijuana / hashish?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1395,qr62,,,,,Can you get through the week without using marijuana / hashish (unless you require it for medical reasons)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1396,qr62,,,,,Are you always able to stop using marijuana / hashish when you want?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1397,qr62,,,,,"Have you had ""blackouts"" or ""flashbacks"" as a result of marijuana / hashish use?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1398,qr62,,,,,Do you ever feel bad about your marijuana / hashish abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1399,qr62,,,,,Does your spouse (or parents) ever complain about your involvement with marijuana/ hashish?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1400,qr62,,,,,Has marijuana / hashish abuse ever created problems between you and your spouse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1401,qr62,,,,,Have you ever lost friends because of your use of marijuana / hashish?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1402,qr62,,,,,Have you ever neglected your family or missed work because of your use of marijuana / hashish?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1403,qr62,,,,,Have you ever been in trouble at work because of marijuana / hashish abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1404,qr62,,,,,Have you ever lost a job because of marijuana / hashish abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1405,qr62,,,,,Have you ever gotten into fights when under the influence of marijuana / hashish?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1406,qr62,,,,,Have you engaged in illegal activities in order to obtain marijuana / hashish?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1407,qr62,,,,,Have you ever been arrested for possession of marijuana / hashish?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1408,qr62,,,,,Have you ever experienced withdrawal symptoms as a result of heavy marijuana / hashish intake?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1409,qr62,,,,,"Have you had medical problems as a result of your marijuana / hashish use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1410,qr62,,,,,Have you ever gone to anyone for help for a marijuana / hashish problem?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1411,qr62,,,,,Have you ever been treated as an out-patient for problems related to marijuana / hashish abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1412,qr62,,,,,When did you FIRST try marijuana?,1=11 years old or less; 2=12 years old; 3=13 years old; 4=14 years old; 5=15 years old; 6=16 years old; 7=17 years old; 8=18 years old or more,1,1,1,1,oo,,,62
1413,qr62,,,,,"On how many occasions IN YOUR WHOLE LIFETIME have you sniffed a substance (glue, aerosols, etc.) to get high?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1414,qr62,,,,,"On how many occasions OVER THE LAST 12 MONTHS have you sniffed a substance (glue, aerosols, etc.) to get high?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1415,qr62,,,,,"On how many occasions OVER THE LAST 30 DAYS have you sniffed a substance (glue, aerosols, etc.) to get high?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1416,qr62,,,,,"On how many occasions OVER THE LAST WEEK have you sniffed a substance (glue, aerosols, etc.) to get high?","1=1-2, 2=3-5, 3=6-9, 4=10-19, 5=20-39, 6=40 or more",1,1,1,oo,6,,,62
1417,qr62,,,,,"Please indicate if you have sniffed a substance (glue, aerosols, etc.) to get high on a weekly basis OVER A 12 MONTH PERIOD or in an excessive or problematic way IN YOUR LIFETIME?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1418,qr62,,,,,Do you abuse more than one drug at a time when you use inhalants (glue/aerosols) to get high?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1419,qr62,,,,,Can you get through the week without using inhalants to get high (unless you require it for medical reasons)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1420,qr62,,,,,Are you always able to stop using inhalants (glue/aerosols) to get high when you want?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1421,qr62,,,,,"Have you had ""blackouts"" or ""flashbacks"" as a result of inhalant (glue/aerosol) use?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1422,qr62,,,,,Do you ever feel bad about your abuse of inhalants (glue/aerosols)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1423,qr62,,,,,Does your spouse (or parents) ever complain about your involvement with inhalants (glue/aerosols)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1424,qr62,,,,,Has inhalant (glue/aerosol) abuse ever created problems between you and your spouse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1425,qr62,,,,,Have you ever lost friends because of your use of inhalants (glue/aerosols)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1426,qr62,,,,,Have you ever neglected your family or missed work because of your use of inhalants (glue/aerosols)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1427,qr62,,,,,Have you ever been in trouble at work because of inhalant (glue/aerosol) abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1428,qr62,,,,,Have you ever lost a job because of inhalant (glue/aerosol) abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1429,qr62,,,,,Have you ever gotten into fights when under the influence of inhalants (glue/aerosols)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1430,qr62,,,,,Have you engaged in illegal activities in order to obtain inhalants (glue/aerosols) to get high?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1431,qr62,,,,,Have you ever been arrested for possession of inhalants (glue/aerosols)?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1432,qr62,,,,,Have you ever experienced withdrawal symptoms as a result of heavy inhalant (glue/aerosol) intake?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1433,qr62,,,,,"Have you had medical problems as a result of your inhalant (glue/aerosol) use (e.g. memory loss, hepatitis, convulsions, bleeding, etc.)?","0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1434,qr62,,,,,Have you ever gone to anyone for help for an inhalant (glue/aerosol) problem?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1435,qr62,,,,,Have you ever been treated as an out-patient for problems related to inhalant (glue/aerosol) abuse?,"0=no, 1=yes",1,2,n/a,n/a,n/a,,,62
1436,qr62,,,,,"When did you FIRST use inhalants (glue, etc.) to get high?","1=11 years old or less, 2=12 years old, 3=13 years old, 4=14 years old, 5=15 years old, 6=16 years old, 7=17 years old, 8=18 years old or more",1,1,1,1,oo,,,62
