entry-level domain,questionnaire domain,Field Label,"Choices, Calculations, OR Slider Labels",Section Header,Form Display Name,Form Name,Field Type,Variable / Field Name,Allow,Questionnaire,Form Name with spaces,Text Validation Min,Text Validation Max,,title plus question formula,original question
,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Learner ID,,Please mark what best fits the student,Conduct/Oppositional defiance (PSC-17),PSC17,4,1,,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Learner ID,Learner ID
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Refuses to share,"0=Never, 1=Sometimes, 2=Often",,Conduct/Oppositional defiance (PSC-17),PSC17,1,2,autoAdvance,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Refuses to share,Refuses to share
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Does not understand other people’s feelings,"0=Never, 1=Sometimes, 2=Often",,Conduct/Oppositional defiance (PSC-17),PSC17,1,3,autoAdvance,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Does not understand other people’s feelings,Does not understand other people’s feelings
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Fights with other children,"0=Never, 1=Sometimes, 2=Often",,Conduct/Oppositional defiance (PSC-17),PSC17,1,4,autoAdvance,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Fights with other children,Fights with other children
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Blames others for his or her troubles,"0=Never, 1=Sometimes, 2=Often",,Conduct/Oppositional defiance (PSC-17),PSC17,1,5,autoAdvance,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Blames others for his or her troubles,Blames others for his or her troubles
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Does not listen to rules,"0=Never, 1=Sometimes, 2=Often",,Conduct/Oppositional defiance (PSC-17),PSC17,1,6,autoAdvance,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Does not listen to rules,Does not listen to rules
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Teases others,"0=Never, 1=Sometimes, 2=Often",,Conduct/Oppositional defiance (PSC-17),PSC17,1,7,autoAdvance,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Teases others,Teases others
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Takes things that do not belong to him or her,"0=Never, 1=Sometimes, 2=Often",,Conduct/Oppositional defiance (PSC-17),PSC17,1,8,autoAdvance,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Takes things that do not belong to him or her,Takes things that do not belong to him or her
,Conduct/Oppositional defiance,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Comment,,,Conduct/Oppositional defiance (PSC-17),PSC17,4,9,dontKnow,PSC-17,PSC17,,,,Conduct/Oppositional defiance (PSC-17)&#10;&#10;Conduct/Oppositional defiance (PSC-17)&#10;&#10;Comment,Comment
,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Learner ID,,"For each item listed below, how does this child compare to other children of the same age? Please select the best rating basedon your observations over the past month.
Compared to other children, how does this child do the following:",Attention/Activity/Impulsivity (SWAN),SWAN,4,10,,SWAN,SWAN,,,,Attention/Activity/Impulsivity (SWAN)&#10;&#10;Attention/Activity/Impulsivity (SWAN)&#10;&#10;Learner ID,Learner ID
