Field Label,Form Display Name,"Choices, Calculations, OR Slider Labels",Section Header,Variable / Field Name,Field Type,Form Name,Allow
The student worries about things,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always","BELOW IS A LIST OF ITEMS THAT DESCRIBE CHILDREN. FOR EACH ITEM PLEASE CIRCLE THE RESPONSE THAT BEST DESCRIBES YOUR CHILD. PLEASE ANSWER ALL THE ITEMS. 

38 questions, 10-15 minutes to complete",1,1,SCAS,autoAdvance
"When the student has a problem, s(he) complains of having a funny feeling in his / her stomach",Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,2,1,SCAS,autoAdvance
The student complains of feeling afraid,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,3,1,SCAS,autoAdvance
"When the student has a problem, s(he) complains of",Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,4,1,SCAS,autoAdvance
The student worries that something bad will happen to him/her,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,5,1,SCAS,autoAdvance
"When the student has a problem, (s)he feels shaky",Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,6,1,SCAS,autoAdvance
The student complains of suddenly feeling as if (s)he can't breathe when there is no reason for this,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,7,1,SCAS,autoAdvance
The student suddenly starts to tremble or shake when there is no reason for this,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,8,1,SCAS,autoAdvance
"The student feels scared if (s)he has to travel in the car, or on a bus or train",Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,9,1,SCAS,autoAdvance
"The student is afraid of being in crowded places (like shopping centres, the movies, buses, busy playgrounds)",Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,10,1,SCAS,autoAdvance
All of a sudden the student feels really scared for no reason at all,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,11,1,SCAS,autoAdvance
The student complains of suddenly becoming dizzy or faint when,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,12,1,SCAS,autoAdvance
The student’s complains of his / her heart suddenly starting to beat too quickly for no reason,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,13,1,SCAS,autoAdvance
The student worries that (s)he will suddenly get a scared feeling when there is nothing to be afraid of,Spence Children's Anxiety Scale (SCAS),"0=Never, 1=Sometimes, 2=Often, 3=Always",,14,1,SCAS,autoAdvance
