index,title,link,description,abbreviation,last_modified,last_modified_by,authors,year,use_with_assessments,indices_reference,ANIRUDH: LEFT column,index_license,index_language,indices_language_not_in_mhdb,LEFT column errors,indices_respondent,indices_subject,age_min,age_max,number_of_questions,number_of_questions (with ranges),minutes_to_complete,minutes_to_complete (with ranges),indices_age,indices_disorder,indices_disorder_category,ANIRUDH: LEFT column,ANIRUDH: RIGHT column,indices_disorder_subcategory,indices_disorder_subsubcategory
9,CMI Life Events Questionnaire,,,,2019-11-19,AB,Child Mind Institute,,,,,20,22200,,,"2600, 2700","200, 600, 1000",,,,,,,"8, 9",,,,,,
10,CMI Symptom Checklist – Parent Report,,,,2020-02-22,AB,Child Mind Institute,,,,,20,22200,,,"2600, 2700","200, 600, 1000",,,,,,,,,,,,,
11,CMI Symptom Self Checklist,,,,2019-11-19,AB,Child Mind Institute,,,,,20,22200,,,100,2900,,,,,,,"8, 9",,,,,,
12,Sutter-Eyberg School Behavior Inventory Revised,https://www.parinc.com/products/pkey/97,"The SESBI-R and the ECBI are comprehensive, behaviorally specific rating scales that assess the current frequency and severity of disruptive behaviors in the home and school settings, as well as the extent to which parents and/or teachers find the behavior troublesome. By evaluating the variety and frequency of behaviors commonly exhibited by all children, the instrument distinguishes normal behavior problems from conduct-disordered behavior in children and adolescents",SESBI-R,2019-11-19,AB,"Eyeberg, S., & Pincus, D.",,14,,,20,22200,29200,,"1800, 2500","1100, 1200, 1300, 1400",2,16,38,38,5,5,"8, 9",,,,,,
13,"Swanson, Nolan and Pehlam Teacher and Parent Rating Scale",https://www.mcpap.com/pdf/SNAPIV.pdf,"The SNAP-IV Rating Scale is a revision of the Swanson, Nolan and Pelham (SNAP) Questionnaire (Swanson et al, 1983). The items from the DSM-IV (1994) criteria for Attention-Deficit/Hyperactivity Disorder (ADHD) are included for the two subsets of symptoms: inattention (items #1-#9) and hyperactivity/ impulsivity (items #11-#19). Also, items are included from the DSM-IV criteria for Oppositional Defiant Disorder (items #21-#28) since it often is present in children with ADHD. Items have been added to summarize the Inattention domain (#10) and the Hyperactivity/Impulsivity domain (#20) of ADHD. Two other items were added: an item from DSM-III-R (#29) that was not included in the DSM-IV list for ODD, and an item to summarize the ODD domain (#30).",SNAP-IV,2019-11-19,AB,"Swanson, J. M., Nolan, Pelham",1992,,,,20,22200,68500,,"1800, 2500, 2600, 2700","200, 600, 1200, 1300, 1400",6,18,18,18,10,10,"8, 9","25, 154, 149, 581, 582, 583, ","3, 4, 7,12, 15, ",,,6,
14,Eyberg Child Behavior Inventory ,https://www.parinc.com/products/pkey/97,"The SESBI-R and the ECBI are comprehensive, behaviorally specific rating scales that assess the current frequency and severity of disruptive behaviors in the home and school settings, as well as the extent to which parents and/or teachers find the behavior troublesome. By evaluating the variety and frequency of behaviors commonly exhibited by all children, the instrument distinguishes normal behavior problems from conduct-disordered behavior in children and adolescents",ECBI,2019-11-19,AB,"Eyeberg, S., & Pincus, D.",,12,,,20,22200,29200,,"2600, 2700","200, 600, 1000",2,16,36,36,5,5,"8, 9",,,,,,
15,Conners ADHD Rating Scale 3 - Parent Short Form,https://www.mhs.com/MHS-Assessment?prodname=conners3,"The Conners ADHD Rating Scale 3 Parent Short Form is a 43-item parent report designed to assess attention deficit/hyperactivity disorder (ADHD) and evaluate problem behavior in children and adolescents (ages 6 to 18). The measure evaluates inattention, hyperactivity/impulsivity, learning problems/executive functioning, aggression, and peer relations. Parents are asked to rate statements about their child in the past month on a 4-point scale: 0-Not true at all (Never, Seldom), 1-Just a little true (Occasionally), 2-Pretty much true (Often, Quite a bit), 3-Very much true (Very often, very frequently).",,2019-11-19,AB,"Conners, K. C",2008,,,,20,22200,29200,,"2600, 2700","200, 600, 1000",6,18,43,43,,,"8, 9",14,,,,,
16,Child Behavior Checklist for Ages 1.5-5,https://www.nctsn.org/measures/child-behavior-checklist-ages-15-5,The ASEBA preschool forms provide valuable information on specific behavioral and emotional problems of children ages 1½-5 years,CBCL/1.5-5,2019-11-19,AB,"Achenbach, T. M., & Rescorla, L. A.",2001,21,,,20,22200,"22000, 19500, 30000, 27600, 68500, 30100, 22100, 73500, 27800, 22600, 23200, 24000, 24100, 21400, 28200, 19000, 16400, 19100, 41500, 16700, 24700, 21500, 30800, 28550, 28500, 30300, 31000, 30500, 29200, 42300, 16800, 16900, 70000, 7200, 29700",,"2600, 2700, 1800, 2500","200, 600, 1000",1.5,5,99,99,20,10-20,8,,"1, 4, 5, 7, 9, 12, 15",,,,
17,ASEBA Child Behavior Checklist: Age 6-18 Teacher's Report Form,https://www.parinc.com/products/pkey/50,"The CBCL is a device by which parents or other individuals who know the child well rate a child's problem behaviors and competencies. The CBCL can also be used to measure a child's change in behavior over time or following a treatment. It consists of 118 items related to behavior problems, which are scored on a 3-point scale ranging from not true to often true of the child. There are also 20 social competency items used to obtain parents’ reports of the amount and quality of their child’s participation in sports, hobbies, games, activities, organizations, jobs and chores, friendships, how well the child gets along with others and plays and works by him/herself, and school functioning.",TRF/6-18,2019-11-19,AB,"Achenbach, T. M., & Rescorla, L. A.",2001,"18, 20",175,,20,22200,"22000, 19500, 2700, 30000, 27600, 68500, 30100, 22100, 73500, 27800, 10000, 22600, 23200, 21400, 28200, 19000, 19100, 2700, 19900, 41500, 21500, 28550, 28500, 29000, 29600, 30300, 30500, 29200, 21800, 7200, 19300",,"2600, 2700, 1800","200, 400, 600",6,18,118,118,20,15-20,"8, 9",,,,,,
18,ASEBA Child Behavior Checklist: Age 6-18,https://aseba.org/school-age/,"The CBCL is a device by which parents or other individuals who know the child well rate a child's problem behaviors and competencies. The CBCL can also be used to measure a child's change in behavior over time or following a treatment. It consists of 118 items related to behavior problems, which are scored on a 3-point scale ranging from not true to often true of the child. There are also 20 social competency items used to obtain parents’ reports of the amount and quality of their child’s participation in sports, hobbies, games, activities, organizations, jobs and chores, friendships, how well the child gets along with others and plays and works by him/herself, and school functioning.",CBCL/6-18,2019-11-19,AB,"Achenbach, T. M., & Rescorla, L. A.",2001,"17, 20",175,,20,22200,"22000, 19500, 2700, 18900, 30000, 27600, 68500, 66200, 30100, 21200, 22100, 73500, 27800, 10000, 22600, 23200, 24000, 24100, 35200, 21400, 40100, 28200, 19000, 16400, 31200, 72500, 19100, 30800, 16900, 41500, 16700, 24700, 21500, 28550, 28500, 25100, 29000, 29600, 30300, 31000, 30500, 1700, 72300, 29200, 21800, 42300, 16800, 16900, 70000, 7200, 29700, 75300, 75600",58,"2600, 2700, 1800","200, 400, 600",6,18,118,118,20,20,"8, 9",,"1, 4, 5, 9, 16",,,,
