Variable / Field Name,Form Name,Section Header,,Item Header,,Field Label,"Choices, Calculations, OR Slider Labels",Field Type,,,Text Validation Min,Text Validation Max,,,Form Display Name
84,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,How many hours of sleep does your child get on most nights?,"1=9-11 hours, 2=8-9 hours, 3=7-8 hours, 4=5-7 hours, 5=less than 5 hours",1,1,1,5,oo,,5,Sleep Disturbance Scale for Children
85,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,How long after going to bed does your child usually fall asleep?,"1=less than 15 min, 2=15-30 min, 3=30-45 min, 4=45-60 min, 5=more than 60 min",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
86,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child goes to bed reluctantly,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
87,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child has difficulty getting to sleep at night,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
88,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child feels anxious or afraid when falling asleep,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
89,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child startles or jerks parts of the body while falling asleep,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
90,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child shows repetitive actions such as rocking or head banging while falling asleep,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
91,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child experiences vivid dream-like scenes while falling asleep,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
92,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child sweats excessively while falling asleep,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
93,qr94,"INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by circling or striking the number 1 to 5. Thank you very much for your help.
","INSTRUCTIONS: This questionnaire will allow to your doctor to have a better understanding of the sleep-wake rhythm of your child and of any problems in his/her sleep behavior. Try to answer every question; in answering, consider each question as pertaining to the past 6 months of the child’s life. Please answer the questions by selecting the number 1 to 5.",,,The child wakes up more than twice per night,"1=Never, 2=Occasionally (once or twice per month or less), 3=Sometimes (once or twice per week), 4=Often (3 to 5 times per week), 5=Always (daily)",1,1,1,oo,5,,5,Sleep Disturbance Scale for Children
