Variable / Field Name,Form Name,Section Header,Unnamed: 3,Item Header,Unnamed: 5,Field Label,"Choices, Calculations, OR Slider Labels",Field Type,Unnamed: 9,Unnamed: 10,Text Validation Min,Text Validation Max,Unnamed: 13,Unnamed: 14,Form Display Name
2924,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,Acts too young for his/her age,"0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2925,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,Drinks alcohol without parent's approval (describe):,"0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2926,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,Argues a lot,"0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2927,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,Fails to finish things he/she starts,"0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2928,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,There is very little that he/she enjoys,"0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2929,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,Bowel movements outside toilet,"0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2930,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,"Bragging, boasting","0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2931,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,"Can't concentrate, can't pay attention for long","0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2932,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,Can't get his/her mind off certain thoughts; obsessions (describe),"0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
2933,qr161,"Following is a list of items that describe children and youths. For each item that describes your child now or within the past 6 months, please choose if the item is very true or often true of your child, is somewhat or sometimes true of your child or if not true of your child. Please answer all items as well as you can, even if some do not seem to apply to your child.","Following is a list of items that describe people. For each item, please pick the answer to describe yourself over the past 6 months. Please answer all items as well as you can, even if some do not seem to apply to you.",,,"Can't sit still, restless or hyperactive","0=Not True (as far as you know), 1=Somewhat or Sometimes True, 2=Very True or Often True",1,,,,,,,Child Behavior Checklist for Ages 6-18 - Parent Report Form
