Variable / Field Name,Form Name,Section Header,Unnamed: 3,Item Header,Unnamed: 5,Field Label,"Choices, Calculations, OR Slider Labels",Field Type,Unnamed: 9,Unnamed: 10,Text Validation Min,Text Validation Max,Unnamed: 13,Unnamed: 14,Form Display Name
1951,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I act too young for my age,"0= Not True, 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1952,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I drink alcohol without my parents' approval (describe):,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1953,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I argue a lot,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1954,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I fail to finish things that I start,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1955,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,There is very little that I enjoy,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1956,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I like animals,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,oo,,,Youth Self Report
1957,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I brag,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1958,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I have trouble concentrating or paying attention,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1959,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I can't get my mind off certain thoughts; (describe):,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
1960,qr20,"Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please circle the 2 if the item is very true or often true of you. Circle the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, circle the 0.","Below is a list of items that describe kids. For each item that describes you now or within the past 6 months, please select the 2 if the item is very true or often true of you. Select the 1 if the item is somewhat or sometimes true of you. If the item is not true of you, select the 0.",,,I have trouble sitting still,"0= Not True (as far as you know), 1= Somewhat or Sometimes True, 2= Very True or Often True",1,1,0,oo,2,,,Youth Self Report
